Sr_No,UPI_Beneficiary_Banks,Date,Approved_percent,Deemed_Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Total_Volume_In_Mn
45,Baroda U.P. Bank,2024-01-01 00:00:00,0.7146,0.0874,0.0061,0.2793,10.21
47,Baroda U.P. Bank,2022-03-01 00:00:00,0.7153,0.0162,0.0496,0.2188,4.3
41,Baroda U.P. Bank,2023-12-01 00:00:00,0.7176,0.1095,0.0067,0.2757,10.8
39,Maharashtra Gramin Bank,2022-07-01 00:00:00,0.7795,0.0196,0.1074,0.0935,6.74
47,Sarva Haryana Gramin Bank,2022-06-01 00:00:00,0.7869,0.0107,0.0047,0.1977,4.66
36,Andhra Pradesh Grameena Vikas Bank,2022-06-01 00:00:00,0.8024,0.0195,0.0919,0.0862,7.71
48,Baroda U.P. Bank,2022-04-01 00:00:00,0.8143,0.0023,0.0714,0.112,4.03
46,Baroda U.P. Bank,2022-09-01 00:00:00,0.8265,0.0072,0.0222,0.1513,5.46
47,Sarva Haryana Gramin Bank,2022-07-01 00:00:00,0.8268,0.0057,0.006,0.1615,4.85
39,Maharashtra Gramin Bank,2022-09-01 00:00:00,0.8294,0.0315,0.0173,0.1533,7.26
44,Rajasthan Marudhara Gramin Bank,2022-07-01 00:00:00,0.8306,0.0197,0.0862,0.0635,5.53
43,Rajasthan Marudhara Gramin Bank,2022-03-01 00:00:00,0.8318,0.035,0.025,0.1083,5.15
45,Baroda U.P. Bank,2023-11-01 00:00:00,0.8336,0.0543,0.0085,0.158,10.63
48,Sarva Haryana Gramin Bank,2022-09-01 00:00:00,0.8417,0.0038,0.0047,0.1536,4.9
48,Baroda Rajasthan Kshetriya Gramin Bank,2022-05-01 00:00:00,0.8427,0.0167,0.0194,0.1212,4.23
38,Pragathi Krishna Gramin Bank,2024-01-01 00:00:00,0.8428,0.0047,0.0032,0.154,13.28
49,Baroda Rajasthan Kshetriya Gramin Bank,2022-03-01 00:00:00,0.8439,0.0237,0.0178,0.1147,4
49,Sarva Haryana Gramin Bank,2022-10-01 00:00:00,0.845,0.0014,0.0042,0.1493,5.15
18,India Post Payment Bank,2023-02-01 00:00:00,0.8459,0.0211,0.0148,0.1182,58.5
38,Maharashtra Gramin Bank,2022-06-01 00:00:00,0.851,0.003,0.0954,0.0506,6.99
43,Maharashtra Gramin Bank,2024-07-01 00:00:00,0.8513,0.0049,0.0018,0.1468,12.26
28,Bandhan Bank,2023-10-01 00:00:00,0.8526,0.0017,0.004,0.1434,25.96
45,Rajasthan Marudhara Gramin Bank,2022-06-01 00:00:00,0.8556,0.0168,0.0492,0.0783,5.21
37,Andhra Pradesh Grameena Vikas Bank,2022-07-01 00:00:00,0.8571,0.0267,0.0743,0.0419,7.2
47,Baroda U.P. Bank,2022-08-01 00:00:00,0.8592,0.0272,0.0228,0.118,5.19
47,Sarva Haryana Gramin Bank,2022-04-01 00:00:00,0.8606,0.0153,0.0044,0.1197,4.16
46,Rajasthan Marudhara Gramin Bank,2022-04-01 00:00:00,0.8628,0.0316,0.0302,0.0754,4.72
42,Baroda U.P. Bank,2023-05-01 00:00:00,0.8632,0.0131,0.02,0.1037,8.3
48,Sarva Haryana Gramin Bank,2022-08-01 00:00:00,0.8636,0.0012,0.0049,0.1316,4.99
47,Sarva Haryana Gramin Bank,2022-05-01 00:00:00,0.8649,0.0225,0.0056,0.107,4.42
48,Andhra Pragathi Grameena Bank,2023-04-01 00:00:00,0.8681,0.0224,0.0034,0.1061,5.96
48,Sarva Haryana Gramin Bank,2022-03-01 00:00:00,0.8691,0.0053,0.0061,0.1195,4.14
38,Andhra Pradesh Grameena Vikas Bank,2022-09-01 00:00:00,0.8695,0.0293,0.046,0.0845,7.32
