UPI_Remitter_Banks,Date,Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Debit_Reversal_Success_percent,Total_Debit_Reversal_Count_In_Million,Total_Volume_In_Million
Baroda U.P. Bank,2023-12-01 00:00:00,0.5112,0.091,0.3978,0.13,2.65,20.77
Maharashtra Gramin Bank,2022-11-01 00:00:00,0.5176,0.4289,0.0535,0.939,0.09,19.41
Baroda U.P. Bank,2024-01-01 00:00:00,0.5414,0.0955,0.3631,0.2781,1.89,19.44
Andhra Pragathi Grameena Bank,2023-04-01 00:00:00,0.5523,0.3209,0.1268,0.0653,0.35,12.27
Maharashtra Gramin Bank,2022-07-01 00:00:00,0.5541,0.3004,0.1455,0,0,15.5
India Post Payment Bank,2023-02-01 00:00:00,0.574,0.2333,0.1926,0.3189,6.49,154.66
Andhra Pradesh Grameena Vikas Bank,2022-06-01 00:00:00,0.5771,0.2661,0.1568,0.0474,0.86,16.62
Maharashtra Gramin Bank,2022-09-01 00:00:00,0.5881,0.221,0.1909,0.0669,0.04,16.48
India Post Payment Bank,2022-06-01 00:00:00,0.598,0.309,0.0929,0.3651,1.78,87.61
Maharashtra Gramin Bank,2022-10-01 00:00:00,0.6162,0.2836,0.1003,0.1953,0.2,17.07
Andhra Pragathi Grameena Bank,2022-01-01 00:00:00,0.6173,0.3323,0.0504,0.0575,0.26,8.63
Maharashtra Gramin Bank,2022-06-01 00:00:00,0.6203,0.3064,0.0734,0.3802,0.24,15.47
Rajasthan Marudhara Gramin Bank,2022-07-01 00:00:00,0.6402,0.2495,0.1103,0,0.01,10.97
Telangana Grameena bank,2022-07-01 00:00:00,0.6467,0.2032,0.15,0,0,7.27
Rajasthan Marudhara Gramin Bank,2022-03-01 00:00:00,0.6481,0.183,0.169,0.0514,0.45,9.68
India Post Payment Bank,2022-09-01 00:00:00,0.6585,0.2508,0.0907,0.4449,0.6,119.05
Andhra Pradesh Grameena Vikas Bank,2022-07-01 00:00:00,0.6592,0.2461,0.0946,0,0,15.7
Fino Payments Bank,2022-06-01 00:00:00,0.6616,0.3038,0.0346,0.6702,0.43,41.21
Rajasthan Marudhara Gramin Bank,2022-06-01 00:00:00,0.6627,0.1883,0.1489,0.0321,0.51,10.16
Andhra Pradesh Grameena Vikas Bank,2022-09-01 00:00:00,0.6653,0.1954,0.1393,0.1073,0.07,15.32
Andhra Pragathi Grameena Bank,2022-03-01 00:00:00,0.6716,0.2509,0.0775,0.0386,0.44,8.97
Andhra Pradesh Grameena Vikas Bank,2022-01-01 00:00:00,0.6773,0.1788,0.1439,0.0574,0.59,12.37
Andhra Pragathi Grameena Bank,2022-04-01 00:00:00,0.6791,0.2318,0.0891,0.0653,0.35,8.73
India Post Payment Bank,2023-01-01 00:00:00,0.6812,0.1891,0.1296,0.7058,2.75,159.78
Rajasthan Marudhara Gramin Bank,2022-04-01 00:00:00,0.6838,0.2266,0.0896,0.108,0.22,8.98
India Post Payment Bank,2023-04-01 00:00:00,0.6879,0.1969,0.1152,0.6774,0.6,170.07
Andhra Pragathi Grameena Bank,2022-02-01 00:00:00,0.6916,0.2639,0.0445,0.0948,0.21,7.44
Baroda U.P. Bank,2023-11-01 00:00:00,0.6942,0.0905,0.2153,0.13,1.21,18.78
India Post Payment Bank,2022-12-01 00:00:00,0.6958,0.1768,0.1274,0.7704,1.21,147.96
Jammu and Kashmir Bank,2023-12-01 00:00:00,0.6974,0.2578,0.0448,0.1343,0.65,48.75
Andhra Pragathi Grameena Bank,2022-06-01 00:00:00,0.702,0.2228,0.0752,0.5993,0.24,9.28
Sarva Haryana Gramin Bank,2022-09-01 00:00:00,0.708,0.2162,0.0758,0.747,0.09,10.24
Maharashtra Gramin Bank,2022-08-01 00:00:00,0.7127,0.1787,0.1086,15.1,0.05,14.43
Maharashtra Gramin Bank,2022-12-01 00:00:00,0.7135,0.2355,0.051,0.3155,0.2,16.64
Andhra Pragathi Grameena Bank,2022-05-01 00:00:00,0.7142,0.1962,0.0896,0.0614,0.29,9.05
Rajasthan Marudhara Gramin Bank,2022-10-01 00:00:00,0.7192,0.1281,0.1527,0.0864,0.09,12.45
Baroda U.P. Bank,2022-09-01 00:00:00,0.7218,0.1069,0.1713,0.4625,0.06,7.74
Andhra Pradesh Grameena Vikas Bank,2022-08-01 00:00:00,0.725,0.1713,0.1037,10.92,0.06,14.67
Andhra Pradesh Grameena Vikas Bank,2022-05-01 00:00:00,0.726,0.1691,0.1049,0,0.44,14.75
Karnataka Vikas Grameena Bank,2022-04-01 00:00:00,0.7265,0.2119,0.0616,0.1192,0.17,6.71
Punjab and Sind Bank,2023-04-01 00:00:00,0.7289,0.1214,0.1497,0.7471,0.1,24.18
Andhra Pragathi Grameena Bank,2022-10-01 00:00:00,0.7328,0.1667,0.1004,0.4337,0.43,10.11
ESAF Small Finance Bank Ltd,2023-04-01 00:00:00,0.7335,0.2556,0.0109,0.9676,0.04,16
Andhra Pragathi Grameena Bank,2023-06-01 00:00:00,0.7343,0.2136,0.0521,0.2444,0.1,11.17
ESAF Small Finance Bank Ltd,2022-09-01 00:00:00,0.7349,0.2505,0.0146,0.8686,0.06,11.74
Andhra Pragathi Grameena Bank,2023-05-01 00:00:00,0.7367,0.1648,0.0986,0.1782,0.02,10.26
Baroda Rajasthan Kshetriya Gramin Bank,2022-03-01 00:00:00,0.741,0.1112,0.1479,0.1058,0.27,6.78
Baroda U.P. Bank,2024-03-01 00:00:00,0.7422,0.1056,0.1522,0.15,1.02,22.31
ESAF Small Finance Bank Ltd,2023-05-01 00:00:00,0.7448,0.2433,0.0119,0.7094,0.04,16.84
India Post Payment Bank,2023-06-01 00:00:00,0.745,0.1055,0.1495,0.3913,3.24,171.64
Telangana Grameena bank,2022-06-01 00:00:00,0.7454,0.2167,0.0379,0.1901,0.15,6.79
Baroda U.P. Bank,2024-06-01 00:00:00,0.7458,0.1,0.1542,0.89,0.15,24.09
Baroda U.P. Bank,2022-08-01 00:00:00,0.7476,0.1031,0.1494,23.36,0.07,7.19
Baroda U.P. Bank,2023-08-01 00:00:00,0.7478,0.1085,0.1436,0.33,0.54,15.76
Rajasthan Marudhara Gramin Bank,2023-03-01 00:00:00,0.7489,0.1911,0.06,0.3421,0.11,15.76
Rajasthan Marudhara Gramin Bank,2022-09-01 00:00:00,0.75,0.115,0.135,0.0806,0.04,11.61
Baroda Rajasthan Kshetriya Gramin Bank,2022-05-01 00:00:00,0.7501,0.0783,0.1716,0.1846,0.26,7.2
India Post Payment Bank,2023-03-01 00:00:00,0.7527,0.2047,0.0426,0.5349,1.16,158.88
Baroda U.P. Bank,2024-04-01 00:00:00,0.7541,0.0917,0.1541,0.18,0.78,22.48
Andhra Pragathi Grameena Bank,2022-09-01 00:00:00,0.7551,0.1502,0.0947,0.8478,0.25,9.35
Andhra Pragathi Grameena Bank,2023-07-01 00:00:00,0.7558,0.1517,0.0925,0.9724,0.065589,12.2
Baroda U.P. Bank,2023-09-01 00:00:00,0.7561,0.1153,0.1286,0.22,0.53,16.05
Rajasthan Marudhara Gramin Bank,2022-01-01 00:00:00,0.7562,0.1419,0.1019,0.0737,0.32,7.57
Rajasthan Marudhara Gramin Bank,2022-05-01 00:00:00,0.7596,0.1411,0.0993,0,0.27,9.25
India Post Payment Bank,2022-01-01 00:00:00,0.7603,0.1756,0.0642,0.1573,2.33,46.7
Maharashtra Gramin Bank,2022-05-01 00:00:00,0.7612,0.1864,0.0523,0.2017,0.11,13.74
Central Bank of India,2022-07-01 00:00:00,0.7628,0.1199,0.1173,0.4499,5.9,118.89
Fino Payments Bank,2023-02-01 00:00:00,0.7637,0.1566,0.0797,0.4782,1.62,66.29
