Application_Name,Date,Volume_B2B_Miilon,Value_B2B_Cr,Volume_B2C_Million,Value_B2C_Cr,Volume_Milllion,Value_Cr,Volume_Customer_Million,Value_Customer_Cr
Aditya Birla Capital Digital,01-03-2024 00:00,0,0,0,0,0.66,30.09,0.66,30.09
Aditya Birla Capital Digital,01-05-2024 00:00,0,0,0,0,0.05,1.84,0.05,1.84
Aditya Birla Capital Digital,01-06-2024 00:00,0,0,0,0,0.07,3.45,0.07,3.45
Aditya Birla Capital Digital,01-07-2024 00:00,0,0,0,0,0.08,3.7,0.08,3.7
Aditya Birla Capital Digital,01-08-2024 00:00,0,0,0,0,0.51,16.36,0.51,16.36
Aditya Birla Capital Digital,01-09-2024 00:00,0,0,0,0,0.72,32.26,0.72,32.26
Aditya Birla Capital Digital,01-10-2024 00:00,0,0,0,0,0.97,37.97,0.97,37.97
Aditya Birla Capital Digital,01-11-2024 00:00,0,0,0,0,0.66,30.09,0.66,30.09
Airtel Payments Bank Apps,01-01-2022 00:00,0,0,0,0,13.22,4729.77,8.53,2047.45
Airtel Payments Bank Apps,01-02-2022 00:00,0,0,0,0,7.58,2210.17,5.8,1199.46
Airtel Payments Bank Apps,01-03-2022 00:00,0,0,0,0,13.16,4492.25,8.33,1934.41
Airtel Payments Bank Apps,01-04-2022 00:00,0,0,0,0,5.3,460.9,5.29,454.64
Airtel Payments Bank Apps,01-05-2022 00:00,0,0,0,0,6.11,486.62,6.1,486.55
Airtel Payments Bank Apps,01-06-2022 00:00,0,0,0,0,6.38,506.2,6.38,506.14
Airtel Payments Bank Apps,01-07-2022 00:00,0,0,0,0,7.41,555.26,7.4,555.09
Airtel Payments Bank Apps,01-08-2022 00:00,0,0.01,0,0,7.96,608.5,7.96,608.38
Airtel Payments Bank Apps,01-09-2022 00:00,0,0.02,0,0,9.15,680.89,9.14,680.76
Airtel Payments Bank Apps,01-10-2022 00:00,0,0,0,0,9.44,775.19,9.44,775.04
Airtel Payments Bank Apps,01-11-2022 00:00,0,0,0,0,8.73,671.09,8.73,671
Airtel Payments Bank Apps,01-12-2022 00:00,0,0,0,0,8.7,681.67,8.69,681.55
Airtel Payments Bank Apps,01-01-2023 00:00,0,0.02,0,0,9.77,834.63,9.77,834.52
Airtel Payments Bank Apps,01-02-2023 00:00,0,0.01,0,0,8.71,730.45,8.71,730.35
Airtel Payments Bank Apps,01-03-2023 00:00,0,0,0,0,10.66,761.51,10.66,761.39
Airtel Payments Bank Apps,01-04-2023 00:00,0,0,0,0,9.04,640.22,9.04,640.16
Airtel Payments Bank Apps,01-05-2023 00:00,0,0,0,0,9.17,627.17,9.17,627.09
Airtel Payments Bank Apps,01-06-2023 00:00,0,0,0,0,8.84,632.2,8.8,632.1
Airtel Payments Bank Apps,01-07-2023 00:00,0,0.01,0,0,9.65,666.04,9.65,665.97
Airtel Payments Bank Apps,01-08-2023 00:00,0,0,0,0,10.2,699.27,10.2,699.21
Airtel Payments Bank Apps,01-09-2023 00:00,0,0.04,0,0,10.46,747.21,10.45,747.05
Airtel Payments Bank Apps,01-10-2023 00:00,0,0,0,0,11.62,810.65,11.32,778.26
Airtel Payments Bank Apps,01-11-2023 00:00,0,0,0,0,11.34,827.06,11.06,795.35
Airtel Payments Bank Apps,01-12-2023 00:00,0,0,0,0,12.54,883.36,12.26,851.64
Airtel Payments Bank Apps,01-01-2024 00:00,0,0.08,0,0,13.24,902.43,13.24,902.32
Airtel Payments Bank Apps,01-02-2024 00:00,0,0.17,0,0,14.07,1028.35,14.06,1028.15
Airtel Payments Bank Apps,01-03-2024 00:00,0,0.05,0,0,18.6,1389.73,18.6,1389.67
Airtel Payments Bank Apps,01-04-2024 00:00,0,0.4,0,0,16.19,1244.14,16.19,1243.65
Airtel Payments Bank Apps,01-05-2024 00:00,0,0.48,0,0,17.29,1330.15,17.29,1329.67
Airtel Payments Bank Apps,01-06-2024 00:00,0,0.39,0,0,15.76,1192.07,15.76,1191.68
Airtel Payments Bank Apps,01-07-2024 00:00,0.85,0.29,0,0,17.48,1210.32,16.63,1210.03
Airtel Payments Bank Apps,01-08-2024 00:00,0,0,0,0.01,17.56,1221.86,17.56,1221.85
Airtel Payments Bank Apps,01-09-2024 00:00,0,0.06,0,0.01,17.41,1278.38,17.41,1278.37
Airtel Payments Bank Apps,01-10-2024 00:00,0,0.08,0,0,20.03,1504.36,20.03,1504.27
Airtel Payments Bank Apps,01-11-2024 00:00,0,0.05,0,0,18.6,1389.73,18.6,1389.67
Akudo & Muvin (Livquik),01-04-2023 00:00,0,0,0,0,0.11,4.25,0.11,4.25
Akudo & Muvin (Livquik),01-05-2023 00:00,0,0,0,0,0.18,6.62,0.18,6.62
Allahabad Bank App,01-01-2022 00:00,0,0,0,0,0.02,7.36,0.02,7.36
Allahabad Bank App,01-02-2022 00:00,0,0,0,0,0.02,6.28,0.02,6.28
Allahabad Bank App,01-03-2022 00:00,0,0,0,0,0.02,6.15,0.02,6.15
Allahabad Bank App,01-05-2022 00:00,0,0,0,0,0.02,6.25,0.02,6.25
Allahabad Bank App,01-06-2022 00:00,0,0,0,0,0.02,6.79,0.02,6.79
Allahabad Bank App,01-07-2022 00:00,0,0,0,0,0.03,6.95,0.03,6.95
Allahabad Bank App,01-08-2022 00:00,0,0,0,0,0.03,7.7,0.03,7.7
Allahabad Bank App,01-09-2022 00:00,0,0,0,0,0.03,8.1,0.03,8.1
Allahabad Bank App,01-10-2022 00:00,0,0,0,0,0.03,9.33,0.03,9.33
Allahabad Bank App,01-11-2022 00:00,0,0,0,0,0.03,8.98,0.03,8.98
Allahabad Bank App,01-12-2022 00:00,0,0,0,0,0.03,9.75,0.03,9.75
Allahabad Bank App,01-01-2023 00:00,0,0,0,0,0.03,9.17,0.03,9.17
Allahabad Bank App,01-02-2023 00:00,0,0,0,0,0.03,8.47,0.03,8.47
Allahabad Bank App,01-03-2023 00:00,0,0,0,0,0.03,8.33,0.03,8.33
Allahabad Bank App,01-04-2023 00:00,0,0,0,0,0.03,8.96,0.03,8.96
Allahabad Bank App,01-05-2023 00:00,0,0,0,0,0.03,8.87,0.03,8.87
Allahabad Bank App,01-06-2023 00:00,0,0,0,0,0.03,8.3,0,8.3
Allahabad Bank App,01-07-2023 00:00,0,0,0,0,0.03,8.73,0.03,8.73
Allahabad Bank App,01-08-2023 00:00,0,0,0,0,0.03,7.81,0.03,7.81
Allahabad Bank App,01-09-2023 00:00,0,0,0,0,0.03,7.15,0.03,7.15
Allahabad Bank App,01-10-2023 00:00,0,0,0,0,0.03,7.3,0.03,7.3
Allahabad Bank App,01-11-2023 00:00,0,0,0,0,0.03,6.93,0.03,6.93
Allahabad Bank App,01-12-2023 00:00,0,0,0,0,0.03,7.01,0.03,7.01
Allahabad Bank App,01-01-2024 00:00,0,0,0,0,0.03,6.51,0.03,6.51
Allahabad Bank App,01-04-2024 00:00,0,0,0,0,0.02,6.18,0.02,6.18
Allahabad Bank App,01-07-2024 00:00,0,0,0,0,0.02,5.19,0.02,5.19
Allahabad Bank App,01-08-2024 00:00,0,0,0,0,0.02,5.13,0.02,5.13
Allahabad Bank App,01-09-2024 00:00,0,0,0,0,0.02,5.54,0.02,5.54
Amazon Pay,01-01-2022 00:00,0,0,0,0,73.5,6729.66,73.5,6729.66
Amazon Pay,01-02-2022 00:00,0,0,0,0,63.49,6044.47,63.49,6044.47
Amazon Pay,01-03-2022 00:00,0,0,0,0,76.34,6894.78,76.34,6894.78
Amazon Pay,01-04-2022 00:00,0,0,0,0,73.21,6699.57,73.21,6699.57
Amazon Pay,01-05-2022 00:00,0,0,0,0,74.83,6954.18,74.83,6954.18
Amazon Pay,01-06-2022 00:00,0,0,0,0,68.4,6541.84,68.4,6541.84
Amazon Pay,01-07-2022 00:00,0,0,0,0,68.77,6751.8,68.77,6751.8
Amazon Pay,01-08-2022 00:00,0,0,0,0,62.43,6353.15,62.43,6353.15
Amazon Pay,01-09-2022 00:00,0,0,0,0,57.38,6015.31,57.38,6015.31
Amazon Pay,01-10-2022 00:00,0,0,0,0,56.42,6060.5,56.42,6060.5
Amazon Pay,01-11-2022 00:00,0,0,0,0,59.76,5873.36,59.76,5873.36
Amazon Pay,01-12-2022 00:00,0,0,0,0,69.61,6621.66,69.61,6621.66
Amazon Pay,01-01-2023 00:00,0,0,0,0,57.75,5797.03,57.75,5797.03
Amazon Pay,01-02-2023 00:00,0,0,0,0,47.8,4981.82,47.8,4981.82
Amazon Pay,01-03-2023 00:00,0,0,0,0,50.56,5360.9,50.56,5360.9
Amazon Pay,01-04-2023 00:00,0,0,0,0,53.44,5351.07,53.44,5351.07
Amazon Pay,01-05-2023 00:00,0,0,0,0,57.08,5772.68,57.08,5772.68
Amazon Pay,01-06-2023 00:00,0,0,0,0,52.89,5647.9,52.9,5647.9
Amazon Pay,01-07-2023 00:00,0,0,0,0,57.6,6163.84,57.6,6163.84
